332, 73, -4096
330, 75, -4096
327, 75, -4096
330, 77, -4096
332, 75, -4096
328, 76, -4096
332, 77, -4096
328, 72, -4096
277, 69, -4096
237, 59, -4096
148, 20, -4096
108, -9, -4096
36, -80, -4096
20, -114, -4096
21, -151, -4096
43, -150, -4096
68, -160, -4096
78, -152, -4096
97, -102, -4096
115, -24, -4096
96, 62, -4096
95, 45, -4096
118, -59, -4096
110, -114, -4096
74, -138, -4096
71, -155, -4096
65, -203, -4096
72, -227, -4096
8, -298, -4096
-25, -363, -4096
-3, -395, -4096
-20, -375, -4096
-59, -300, -4096
-62, -288, -4096
-47, -327, -4096
5, -412, -4096
96, -489, -4096
142, -517, -4096
237, -539, -4096
256, -537, -4096
345, -514, -4096
430, -471, -4096
436, -464, -4096
454, -450, -4096
464, -440, -4096
486, -420, -4096
482, -423, -4096
363, -512, -4096
327, -530, -4096
256, -542, -4096
184, -533, -4096
-3, -419, -4096
-55, -330, -4096
-46, -138, -4096
-11, -78, -4096
39, -8, -4096
40, -3, -4096
136, 59, -4096
175, 78, -4096
337, 82, -4096
398, 66, -4096
488, 2, -4096
428, 51, -4096
366, 78, -4096
362, 80, -4096
338, 81, -4096
398, 64, -4096
538, -65, -4096
568, -125, -4096
570, -294, -4096
540, -350, -4096
579, -223, -4096
571, -132, -4096
566, -129, -4096
570, -131, -4096
581, -226, -4096
555, -338, -4096
546, -360, -4096
560, -327, -4096
572, -309, -4096
588, -107, -4096
525, -41, -4096
339, 208, -4096
282, 216, -4096
101, 213, -4096
23, 156, -4096
-56, 19, -4096
-90, -57, -4096
-126, 4, -4096
-84, 63, -4096
41, 18, -4096
76, -27, -4096
249, 41, -4096
301, 70, -4096
427, 64, -4096
424, -15, -4096
404, -29, -4096
429, -26, -4096
639, 19, -4096
644, 151, -4096
535, 200, -4096
441, 194, -4096
219, 216, -4096
80, 178, -4096
-1, 149, -4096
-29, 140, -4096
-40, 116, -4096
-14, 122, -4096
83, 151, -4096
217, 168, -4096
617, 164, -4096
619, 86, -4096